Packet Number,Source MAC,Destination MAC,EtherType,IP Version,Source IP,Destination IP,Header Length (bytes),Total Length (bytes),TTL,Protocol,Checksum,Flags,Fragment Offset,Identification,Source Port,Destination Port,Sequence Number,Acknowledgment Number,TCP Flags,Window Size,Urgent Pointer
43,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,64854.0,DF,0.0,28006.0,54224.0,5000.0,1382964667.0,3740495048.0,PA,331.0,0.0
44,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,59699.0,DF,0.0,16763.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
45,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,58249.0,DF,0.0,16764.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
46,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,65460.0,DF,0.0,28007.0,54224.0,5000.0,1382966115.0,3740495048.0,A,331.0,0.0
47,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,72.0,63.0,6.0,35515.0,DF,0.0,16765.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
48,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,80.0,63.0,6.0,6990.0,DF,0.0,16766.0,5000.0,54224.0,3740495048.0,1382940051.0,A,330.0,0.0
49,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,6547.0,DF,0.0,28008.0,54224.0,5000.0,1382957427.0,3740495048.0,A,331.0,0.0
50,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,80.0,63.0,6.0,5273.0,DF,0.0,16767.0,5000.0,54224.0,3740495048.0,1382941499.0,A,319.0,0.0
51,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,5035.0,DF,0.0,28009.0,54224.0,5000.0,1382960323.0,3740495048.0,A,331.0,0.0
52,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,63330.0,DF,0.0,28010.0,54224.0,5000.0,1382967563.0,3740495048.0,A,331.0,0.0
53,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,80.0,63.0,6.0,3832.0,DF,0.0,16768.0,5000.0,54224.0,3740495048.0,1382942947.0,A,308.0,0.0
54,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,61364.0,DF,0.0,28011.0,54224.0,5000.0,1382969011.0,3740495048.0,A,331.0,0.0
55,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,72.0,63.0,6.0,60297.0,DF,0.0,16769.0,5000.0,54224.0,3740495048.0,1382957427.0,A,243.0,0.0
56,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,59392.0,DF,0.0,28012.0,54224.0,5000.0,1382970459.0,3740495048.0,A,331.0,0.0
57,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,80.0,63.0,6.0,25905.0,DF,0.0,16770.0,5000.0,54224.0,3740495048.0,1382957427.0,A,315.0,0.0
58,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,1087.0,DF,0.0,28013.0,54224.0,5000.0,1382963219.0,3740495048.0,A,331.0,0.0
59,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,80.0,63.0,6.0,24452.0,DF,0.0,16771.0,5000.0,54224.0,3740495048.0,1382957427.0,A,315.0,0.0
60,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,57410.0,DF,0.0,28014.0,54224.0,5000.0,1382971907.0,3740495048.0,A,331.0,0.0
61,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,72.0,63.0,6.0,44283.0,DF,0.0,16772.0,5000.0,54224.0,3740495048.0,1382960323.0,A,299.0,0.0
62,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,58009.0,DF,0.0,28015.0,54224.0,5000.0,1382973355.0,3740495048.0,A,331.0,0.0
63,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,56047.0,DF,0.0,28016.0,54224.0,5000.0,1382974803.0,3740495048.0,A,331.0,0.0
64,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,4208.0,DF,0.0,16773.0,5000.0,54224.0,3740495048.0,1382963219.0,A,308.0,0.0
65,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,2751.0,DF,0.0,16774.0,5000.0,54224.0,3740495048.0,1382963219.0,A,317.0,0.0
66,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,53926.0,DF,0.0,28017.0,54224.0,5000.0,1382976251.0,3740495048.0,A,331.0,0.0
67,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,51964.0,DF,0.0,28018.0,54224.0,5000.0,1382977699.0,3740495048.0,A,331.0,0.0
68,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,1301.0,DF,0.0,16775.0,5000.0,54224.0,3740495048.0,1382963219.0,A,317.0,0.0
69,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,49998.0,DF,0.0,28019.0,54224.0,5000.0,1382979147.0,3740495048.0,A,331.0,0.0
70,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,64.0,63.0,6.0,65383.0,DF,0.0,16776.0,5000.0,54224.0,3740495048.0,1382963219.0,A,317.0,0.0
71,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,50596.0,DF,0.0,28020.0,54224.0,5000.0,1382980595.0,3740495048.0,A,331.0,0.0
72,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,36913.0,DF,0.0,16777.0,5000.0,54224.0,3740495048.0,1382971907.0,A,293.0,0.0
73,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,48625.0,DF,0.0,28021.0,54224.0,5000.0,1382982043.0,3740495048.0,A,331.0,0.0
74,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,32523.0,DF,0.0,16778.0,5000.0,54224.0,3740495048.0,1382976251.0,A,325.0,0.0
75,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,46644.0,DF,0.0,28022.0,54224.0,5000.0,1382983491.0,3740495048.0,A,331.0,0.0
76,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,44682.0,DF,0.0,28023.0,54224.0,5000.0,1382984939.0,3740495048.0,A,331.0,0.0
77,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,42711.0,DF,0.0,28024.0,54224.0,5000.0,1382986387.0,3740495048.0,PA,331.0,0.0
78,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,29458.0,DF,0.0,16779.0,5000.0,54224.0,3740495048.0,1382979147.0,A,330.0,0.0
79,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,43168.0,DF,0.0,28025.0,54224.0,5000.0,1382987835.0,3740495048.0,A,331.0,0.0
80,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,41206.0,DF,0.0,28026.0,54224.0,5000.0,1382989283.0,3740495048.0,A,331.0,0.0
81,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,26553.0,DF,0.0,16780.0,5000.0,54224.0,3740495048.0,1382982043.0,A,330.0,0.0
