Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
122,172.16.10.1,172.16.11.1,20,0,0,6
123,172.16.11.1,172.16.10.1,20,0,0,6
124,172.16.11.1,172.16.10.1,20,0,0,6
125,172.16.10.1,172.16.11.1,20,0,0,6
126,172.16.11.1,172.16.10.1,20,0,0,6
127,172.16.11.1,172.16.10.1,20,0,0,6
128,172.16.10.1,172.16.11.1,20,0,0,6
129,172.16.11.1,172.16.10.1,20,0,0,6
130,172.16.11.1,172.16.10.1,20,0,0,6
131,172.16.10.1,172.16.11.1,20,0,0,6
132,172.16.11.1,172.16.10.1,20,0,0,6
133,172.16.11.1,172.16.10.1,20,0,0,6
134,172.16.11.1,172.16.10.1,20,0,0,6
135,172.16.10.1,172.16.11.1,20,0,0,6
136,172.16.11.1,172.16.10.1,20,0,0,6
137,172.16.11.1,172.16.10.1,20,0,0,6
138,172.16.10.1,172.16.11.1,20,0,0,6
139,172.16.11.1,172.16.10.1,20,0,0,6
140,172.16.11.1,172.16.10.1,20,0,0,6
141,172.16.10.1,172.16.11.1,20,0,0,6
142,172.16.11.1,172.16.10.1,20,0,0,6
143,172.16.11.1,172.16.10.1,20,0,0,6
144,172.16.10.1,172.16.11.1,20,0,0,6
145,172.16.11.1,172.16.10.1,20,0,0,6
146,172.16.11.1,172.16.10.1,20,0,0,6
147,172.16.10.1,172.16.11.1,20,0,0,6
148,172.16.11.1,172.16.10.1,20,0,0,6
149,172.16.11.1,172.16.10.1,20,0,0,6
150,172.16.11.1,172.16.10.1,20,0,0,6
151,172.16.11.1,172.16.10.1,20,0,0,6
152,172.16.10.1,172.16.11.1,20,0,0,6
153,172.16.11.1,172.16.10.1,20,0,0,6
154,172.16.10.1,172.16.11.1,20,0,0,6
155,172.16.11.1,172.16.10.1,20,0,0,6
156,172.16.11.1,172.16.10.1,20,0,0,6
157,172.16.10.1,172.16.11.1,20,0,0,6
158,172.16.11.1,172.16.10.1,20,0,0,6
159,172.16.11.1,172.16.10.1,20,0,0,6
160,172.16.10.1,172.16.11.1,20,0,0,6
161,172.16.11.1,172.16.10.1,20,0,0,6
162,172.16.11.1,172.16.10.1,20,0,0,6
163,172.16.10.1,172.16.11.1,20,0,0,6
164,172.16.11.1,172.16.10.1,20,0,0,6
165,172.16.11.1,172.16.10.1,20,0,0,6
166,172.16.10.1,172.16.11.1,20,0,0,6
167,172.16.11.1,172.16.10.1,20,0,0,6
168,172.16.11.1,172.16.10.1,20,0,0,6
169,172.16.10.1,172.16.11.1,20,0,0,6
170,172.16.11.1,172.16.10.1,20,0,0,6
171,172.16.11.1,172.16.10.1,20,0,0,6
172,172.16.10.1,172.16.11.1,20,0,0,6
173,172.16.11.1,172.16.10.1,20,0,0,6
174,172.16.11.1,172.16.10.1,20,0,0,6
175,172.16.10.1,172.16.11.1,20,0,0,6
176,172.16.11.1,172.16.10.1,20,0,0,6
