tcp_80_connections,tcp_443_connections,udp_443_connections
"('164.66.48.251', 3118, '47.241.229.254', 80)",,
"('149.198.202.137', 62492, '200.86.147.191', 80)",,
"('149.198.203.99', 65079, '222.9.85.15', 80)",,
"('69.65.130.66', 80, '193.188.201.171', 46794)",,
"('160.26.149.249', 21674, '107.10.152.224', 80)",,
"('161.32.12.92', 1558, '215.202.84.11', 80)",,
"('46.224.120.109', 43964, '164.66.4.121', 80)",,
"('164.66.46.8', 38814, '222.123.90.242', 80)",,
"('45.171.216.174', 80, '145.120.116.167', 3981)",,
"('164.93.0.135', 31363, '212.30.121.177', 80)",,
"('161.32.133.174', 21168, '221.224.105.200', 80)",,
"('164.93.10.185', 36237, '11.43.102.22', 80)",,
"('192.114.236.80', 80, '92.182.186.143', 3070)",,
"('192.114.236.80', 80, '49.64.128.245', 25940)",,
"('149.198.202.136', 60946, '215.210.211.35', 80)",,
"('172.20.32.135', 3053, '47.161.114.196', 80)",,
"('164.93.90.108', 1367, '193.44.194.34', 80)",,
"('161.32.173.69', 33959, '212.198.144.48', 80)",,
"('35.27.69.44', 54337, '164.66.234.130', 80)",,
"('149.198.202.136', 59970, '202.40.71.27', 80)",,
"('149.198.202.136', 58196, '198.210.82.81', 80)",,
"('192.114.236.80', 80, '41.34.123.233', 1597)",,
"('161.32.202.70', 4883, '212.102.202.149', 80)",,
"('145.120.33.9', 1244, '212.100.188.42', 80)",,
"('222.9.85.15', 80, '193.188.201.199', 2207)",,
"('46.224.123.25', 54043, '161.32.38.70', 80)",,
"('164.93.196.52', 1190, '11.43.102.40', 80)",,
"('193.188.208.221', 4227, '212.199.141.67', 80)",,
"('160.26.149.249', 21657, '107.10.152.224', 80)",,
"('220.75.138.83', 55306, '192.114.236.44', 80)",,
"('11.43.102.29', 80, '193.176.28.14', 53679)",,
"('212.138.117.186', 58067, '192.114.235.26', 80)",,
"('213.96.240.242', 80, '161.32.8.4', 3975)",,
"('44.47.194.194', 80, '161.32.2.115', 34433)",,
"('145.120.107.4', 4244, '198.102.75.182', 80)",,
"('145.120.2.95', 2373, '69.64.1.95', 80)",,
"('164.93.0.135', 31346, '212.30.121.177', 80)",,
"('192.85.32.223', 48004, '213.23.207.114', 80)",,
"('161.32.38.70', 80, '212.36.40.221', 3350)",,
"('221.224.105.200', 80, '161.32.86.156', 33999)",,
"('164.66.226.190', 54282, '92.198.144.54', 80)",,
"('193.44.201.172', 80, '164.88.48.128', 61084)",,
"('192.114.235.26', 80, '212.138.117.186', 58064)",,
"('193.188.201.199', 2193, '213.23.207.114', 80)",,
"('161.32.5.77', 1162, '200.105.170.8', 80)",,
"('192.114.235.26', 80, '33.31.26.190', 34162)",,
"('46.180.20.128', 80, '161.32.14.229', 3182)",,
"('201.210.241.120', 54409, '92.200.3.212', 80)",,
"('50.218.125.160', 80, '193.188.201.199', 2216)",,
"('35.21.253.77', 80, '164.66.117.27', 43206)",,
"('193.188.208.221', 4231, '212.199.141.67', 80)",,
"('41.82.239.151', 51597, '192.114.236.80', 80)",,
"('161.33.122.24', 2478, '33.213.53.197', 80)",,
"('161.32.133.174', 21178, '221.224.105.200', 80)",,
"('161.32.65.172', 1660, '214.206.51.75', 80)",,
"('193.188.201.171', 46691, '46.128.236.251', 80)",,
"('149.198.203.114', 62507, '198.225.233.161', 80)",,
"('149.198.202.136', 60780, '46.224.98.187', 80)",,
"('214.206.51.140', 80, '161.32.65.172', 1669)",,
"('44.206.252.141', 80, '145.120.78.52', 4519)",,
"('186.145.177.144', 3447, '212.18.193.166', 80)",,
"('164.66.234.130', 80, '44.78.174.13', 11017)",,
"('164.66.54.156', 63181, '120.160.149.174', 80)",,
"('186.145.177.144', 3289, '212.18.193.167', 80)",,
"('164.93.220.98', 63622, '11.43.102.51', 80)",,
"('149.198.215.121', 80, '202.36.48.89', 34101)",,
"('186.145.82.69', 80, '46.224.120.245', 59937)",,
"('223.105.162.120', 80, '164.143.51.169', 47546)",,
"('186.145.136.85', 35317, '11.43.102.40', 80)",,
"('149.198.202.136', 60454, '215.154.127.189', 80)",,
"('164.143.169.37', 4196, '193.100.100.162', 80)",,
"('35.21.253.67', 80, '164.66.161.20', 19698)",,
"('149.198.202.136', 55462, '196.105.153.129', 80)",,
"('161.32.70.232', 80, '35.27.78.192', 37867)",,
"('164.93.64.39', 1627, '46.224.101.186', 80)",,
"('213.96.240.157', 80, '161.32.8.4', 3977)",,
"('149.198.203.99', 65132, '213.23.207.114', 80)",,
"('200.82.28.170', 38185, '164.66.46.8', 80)",,
"('88.164.75.117', 1284, '192.114.235.26', 80)",,
"('149.198.202.136', 60888, '222.210.210.87', 80)",,
"('193.188.203.82', 1919, '11.43.100.12', 80)",,
"('164.66.46.8', 80, '214.28.137.81', 2237)",,
"('213.23.207.114', 80, '193.188.201.199', 1704)",,
"('149.198.202.136', 61013, '222.9.85.15', 80)",,
"('46.224.98.187', 80, '161.32.4.192', 2985)",,
"('186.145.100.124', 57042, '35.3.204.42', 80)",,
"('193.44.192.11', 80, '161.32.74.0', 49867)",,
"('198.102.75.182', 80, '161.32.5.77', 1075)",,
"('149.198.202.137', 62019, '222.16.225.37', 80)",,
"('164.66.226.190', 54257, '92.198.144.54', 80)",,
"('44.206.250.129', 80, '161.32.133.174', 20834)",,
"('145.120.78.52', 4519, '44.206.252.141', 80)",,
"('182.56.80.63', 80, '220.107.156.233', 2413)",,
"('164.66.46.8', 80, '193.204.30.184', 19847)",,
"('192.114.235.26', 80, '192.154.10.94', 59283)",,
"('161.32.38.70', 80, '212.36.40.221', 3340)",,
"('193.188.201.182', 59952, '213.23.207.114', 80)",,
"('156.100.104.142', 1441, '192.114.236.80', 80)",,
"('193.188.224.94', 23624, '45.171.151.46', 80)",,
"('149.198.203.114', 62504, '46.224.98.177', 80)",,
"('193.176.24.117', 80, '43.5.193.177', 65376)",,
"('45.171.234.51', 80, '164.66.226.190', 54163)",,
"('218.34.48.0', 80, '161.32.8.4', 3856)",,
"('192.85.7.165', 42941, '198.73.110.217', 80)",,
"('164.93.196.52', 1181, '11.43.102.22', 80)",,
"('164.66.226.190', 54298, '92.198.144.54', 80)",,
"('161.32.198.32', 3447, '198.152.35.225', 80)",,
"('145.120.108.109', 3252, '69.95.12.235', 80)",,
"('164.66.235.93', 38914, '214.4.196.200', 80)",,
"('214.206.49.60', 80, '161.32.181.221', 1522)",,
"('46.233.17.230', 80, '193.188.203.82', 1623)",,
"('193.44.201.172', 80, '145.120.116.167', 3985)",,
"('149.198.202.137', 62541, '222.9.85.15', 80)",,
"('93.205.48.121', 18900, '192.114.236.80', 80)",,
"('182.56.80.63', 80, '93.109.171.10', 3332)",,
"('164.93.67.85', 4273, '11.43.102.22', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 34172)",,
"('193.188.201.199', 2216, '50.218.125.160', 80)",,
"('161.32.40.248', 50204, '46.240.209.77', 80)",,
"('220.107.200.242', 2196, '192.114.236.80', 80)",,
"('149.198.202.137', 62509, '192.182.105.70', 80)",,
"('161.32.225.106', 80, '46.224.123.251', 44839)",,
"('161.32.133.174', 21170, '221.224.105.200', 80)",,
"('193.176.28.9', 80, '221.5.127.207', 4498)",,
"('164.66.226.190', 54281, '92.198.144.54', 80)",,
"('192.114.236.80', 80, '194.150.246.58', 1340)",,
"('46.224.98.177', 80, '193.188.201.199', 2000)",,
"('193.188.201.199', 3548, '44.108.159.44', 80)",,
"('149.198.202.136', 60949, '44.206.224.67', 80)",,
"('44.206.252.198', 80, '145.120.49.226', 2255)",,
"('45.171.216.174', 80, '164.143.178.166', 2266)",,
"('164.93.91.142', 64119, '193.44.201.172', 80)",,
"('88.165.95.6', 80, '164.88.48.135', 53478)",,
"('46.224.123.251', 44839, '161.32.225.106', 80)",,
"('161.32.148.18', 80, '193.215.220.83', 2618)",,
"('149.198.202.137', 62524, '222.9.85.15', 80)",,
"('92.198.144.54', 80, '164.66.226.190', 54283)",,
"('161.32.168.75', 3696, '46.224.98.177', 80)",,
"('164.93.10.185', 36202, '11.43.102.22', 80)",,
"('35.21.253.77', 80, '164.66.146.56', 58725)",,
"('161.32.173.69', 34706, '192.115.109.251', 80)",,
"('161.32.8.4', 3969, '213.96.240.237', 80)",,
"('35.21.253.76', 80, '147.17.114.95', 10713)",,
"('164.66.234.200', 80, '46.224.123.88', 46762)",,
"('164.143.212.86', 2007, '222.76.151.229', 80)",,
"('160.104.245.60', 80, '193.188.201.199', 2076)",,
"('161.33.8.19', 39610, '201.1.235.227', 80)",,
"('161.33.45.136', 59166, '223.118.175.46', 80)",,
"('149.198.202.136', 60778, '46.224.98.177', 80)",,
"('161.32.2.115', 35451, '162.100.193.39', 80)",,
"('221.224.105.200', 80, '161.32.133.174', 21192)",,
"('120.160.134.0', 80, '164.66.48.225', 55049)",,
"('160.26.149.26', 11630, '213.123.183.108', 80)",,
"('161.32.74.0', 49858, '193.44.192.11', 80)",,
"('193.176.30.159', 1459, '217.64.46.118', 80)",,
"('182.56.80.154', 29833, '221.167.56.40', 80)",,
"('149.198.202.137', 59289, '11.43.100.101', 80)",,
"('164.143.133.82', 80, '198.210.162.66', 57312)",,
"('186.145.44.73', 16174, '52.144.27.92', 80)",,
"('192.114.235.26', 80, '203.5.4.248', 22048)",,
"('43.34.12.62', 80, '164.66.219.59', 2711)",,
"('145.120.188.67', 80, '217.64.140.153', 1886)",,
"('214.206.51.143', 80, '161.32.65.172', 1667)",,
"('193.176.204.59', 1963, '92.11.250.40', 80)",,
"('161.32.196.51', 2198, '92.11.198.52', 80)",,
"('11.249.219.44', 2624, '192.114.236.80', 80)",,
"('192.137.9.118', 36206, '192.114.235.26', 80)",,
"('192.85.32.223', 47940, '95.16.91.10', 80)",,
"('164.66.244.242', 1094, '44.206.249.1', 80)",,
"('192.3.18.14', 80, '193.176.213.98', 3962)",,
"('161.32.243.166', 40188, '213.80.37.121', 80)",,
"('164.93.32.205', 1437, '212.102.215.46', 80)",,
"('45.171.169.60', 80, '161.32.248.150', 1154)",,
"('92.198.144.54', 80, '164.66.226.190', 54296)",,
"('214.206.51.140', 80, '193.176.213.120', 51264)",,
"('193.176.213.120', 51302, '214.206.51.143', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 33897)",,
"('161.32.173.69', 34047, '212.198.144.48', 80)",,
"('193.188.202.130', 1251, '44.206.250.137', 80)",,
"('149.198.202.137', 61992, '44.206.252.163', 80)",,
"('186.145.25.24', 18986, '11.43.102.22', 80)",,
"('149.198.203.114', 62502, '215.102.161.137', 80)",,
"('161.32.65.172', 1669, '214.206.51.140', 80)",,
"('161.32.133.174', 21177, '221.224.105.200', 80)",,
"('186.145.201.39', 56442, '212.30.122.62', 80)",,
"('164.66.48.225', 55050, '46.74.61.206', 80)",,
"('164.66.48.251', 3081, '44.206.249.138', 80)",,
"('145.120.192.99', 1577, '44.206.252.141', 80)",,
"('161.32.198.32', 3445, '222.76.136.167', 80)",,
"('164.66.226.194', 1224, '46.224.98.177', 80)",,
"('186.145.130.83', 48436, '52.146.79.18', 80)",,
"('161.33.114.73', 58831, '33.213.96.232', 80)",,
"('149.198.202.136', 60754, '11.43.100.83', 80)",,
"('164.93.57.176', 62747, '46.214.236.214', 80)",,
"('193.71.96.60', 21120, '192.114.235.26', 80)",,
"('164.66.235.92', 50236, '214.236.139.225', 80)",,
"('149.198.202.136', 50211, '45.6.247.40', 80)",,
"('94.216.95.107', 80, '193.188.203.82', 1858)",,
"('149.198.202.136', 60786, '44.206.252.171', 80)",,
"('44.77.209.71', 80, '193.188.201.182', 34391)",,
"('149.198.202.137', 62409, '46.210.193.83', 80)",,
"('149.198.202.136', 60885, '46.224.98.187', 80)",,
"('35.21.253.77', 80, '164.216.200.78', 27508)",,
"('192.114.236.27', 80, '220.75.138.83', 55293)",,
"('42.65.177.195', 35493, '192.114.232.238', 80)",,
"('160.26.216.171', 63924, '221.167.56.55', 80)",,
"('164.93.70.235', 47310, '212.30.112.42', 80)",,
"('149.198.202.136', 60878, '222.233.136.228', 80)",,
"('193.188.224.94', 23169, '45.171.153.145', 80)",,
"('161.33.4.56', 1353, '202.134.66.140', 80)",,
"('161.32.248.150', 1159, '89.173.117.88', 80)",,
"('92.198.144.54', 80, '164.66.226.190', 54273)",,
"('215.153.68.221', 44183, '192.114.238.217', 80)",,
"('145.120.116.161', 2890, '46.224.98.177', 80)",,
"('213.24.144.85', 80, '161.32.74.144', 4140)",,
"('186.145.136.85', 35316, '11.43.102.40', 80)",,
"('160.26.149.249', 21675, '107.10.152.224', 80)",,
"('149.198.202.136', 60849, '46.224.98.177', 80)",,
"('149.198.202.136', 58376, '44.133.158.70', 80)",,
"('213.123.168.255', 80, '164.88.48.132', 56480)",,
"('221.224.105.200', 80, '161.32.133.174', 21182)",,
"('145.120.4.185', 2917, '46.224.98.187', 80)",,
"('212.199.141.67', 80, '193.188.208.221', 4231)",,
"('223.151.202.134', 80, '161.32.173.69', 33835)",,
"('145.120.108.109', 3254, '69.95.12.235', 80)",,
"('161.32.173.69', 34465, '46.210.204.80', 80)",,
"('161.32.9.205', 1065, '199.188.185.221', 80)",,
"('164.66.226.190', 54256, '92.198.144.54', 80)",,
"('192.28.41.250', 52406, '192.114.235.26', 80)",,
"('69.95.12.235', 80, '145.120.108.109', 3265)",,
"('44.35.107.236', 80, '145.120.78.33', 4818)",,
"('198.210.199.21', 80, '161.32.131.24', 48600)",,
"('145.120.72.149', 1670, '223.105.162.101', 80)",,
"('164.93.48.13', 62225, '11.43.102.22', 80)",,
"('186.145.46.178', 1225, '11.43.102.40', 80)",,
"('164.93.40.47', 4670, '11.43.102.22', 80)",,
"('145.120.105.53', 1732, '213.80.60.199', 80)",,
"('186.145.196.25', 13431, '192.53.17.69', 80)",,
"('161.32.5.77', 1171, '44.206.252.163', 80)",,
"('92.198.144.54', 80, '164.66.226.190', 54286)",,
"('160.72.170.98', 80, '92.16.190.133', 15911)",,
"('186.145.130.83', 48427, '212.82.90.96', 80)",,
"('164.66.226.190', 54283, '92.198.144.54', 80)",,
"('193.44.192.40', 80, '164.66.46.80', 3601)",,
"('149.198.202.137', 62398, '104.20.177.69', 80)",,
"('222.128.131.162', 80, '164.66.66.17', 50257)",,
"('193.188.203.82', 4783, '209.7.26.71', 80)",,
"('164.143.180.118', 2459, '44.206.249.138', 80)",,
"('11.43.102.91', 80, '164.88.48.135', 53452)",,
"('145.120.250.196', 56623, '44.206.252.199', 80)",,
"('182.56.80.154', 9573, '221.167.56.227', 80)",,
"('193.188.201.199', 2361, '53.186.21.52', 80)",,
"('193.176.213.120', 51172, '214.206.51.143', 80)",,
"('92.11.240.168', 80, '161.32.168.19', 1843)",,
"('198.210.73.173', 80, '161.32.12.92', 1554)",,
"('149.198.202.136', 60838, '222.9.85.46', 80)",,
"('145.120.33.8', 3349, '44.206.252.198', 80)",,
"('164.93.40.47', 4671, '11.43.102.25', 80)",,
"('193.176.28.14', 53676, '11.43.102.29', 80)",,
"('92.11.240.130', 80, '161.32.38.100', 40891)",,
"('186.145.218.115', 16892, '46.224.101.63', 80)",,
"('161.32.202.70', 4884, '212.102.202.149', 80)",,
"('169.43.130.30', 80, '161.32.16.109', 2640)",,
"('164.93.222.192', 1142, '92.11.198.52', 80)",,
"('11.43.100.12', 80, '193.176.204.59', 1952)",,
"('92.11.240.168', 80, '161.32.133.174', 21174)",,
"('149.198.202.137', 61996, '44.206.252.171', 80)",,
"('164.93.70.235', 47302, '212.30.112.42', 80)",,
"('145.120.2.95', 2374, '69.64.1.95', 80)",,
"('186.145.129.153', 1660, '52.144.24.11', 80)",,
"('161.32.248.223', 1099, '198.210.199.64', 80)",,
"('145.120.108.109', 3261, '69.95.12.235', 80)",,
"('192.172.121.15', 2076, '192.114.236.80', 80)",,
"('161.33.77.98', 34931, '200.134.183.46', 80)",,
"('44.206.249.194', 80, '164.66.48.251', 3079)",,
"('193.188.201.199', 2206, '222.9.85.15', 80)",,
"('221.224.105.200', 80, '161.32.133.174', 21172)",,
"('186.145.148.23', 65252, '46.181.90.95', 80)",,
"('149.198.161.92', 36519, '200.105.170.11', 80)",,
"('145.120.128.10', 42371, '44.206.252.141', 80)",,
"('186.145.134.164', 2402, '11.43.102.22', 80)",,
"('164.93.70.235', 47350, '212.30.112.42', 80)",,
"('149.198.202.137', 62469, '213.23.207.114', 80)",,
"('69.95.12.235', 80, '145.120.108.109', 3255)",,
"('193.188.203.82', 1598, '223.105.162.117', 80)",,
"('193.188.201.171', 46793, '44.206.252.199', 80)",,
"('164.66.226.190', 54290, '92.198.144.54', 80)",,
"('161.32.24.44', 40459, '212.48.1.166', 80)",,
"('149.198.202.137', 62230, '110.246.47.251', 80)",,
"('161.32.7.70', 47114, '92.11.240.130', 80)",,
"('161.32.40.248', 50198, '46.240.209.77', 80)",,
"('164.66.46.8', 80, '51.163.237.101', 3550)",,
"('160.26.149.249', 21650, '107.10.152.224', 80)",,
"('198.210.199.22', 80, '161.32.131.19', 59408)",,
"('35.27.159.28', 57059, '161.32.7.83', 80)",,
"('161.32.225.18', 1070, '222.76.130.143', 80)",,
"('164.66.226.190', 54270, '198.210.216.48', 80)",,
"('46.224.98.187', 80, '161.32.5.77', 1279)",,
"('160.26.149.249', 21668, '107.10.152.224', 80)",,
"('161.32.40.248', 50196, '46.240.209.77', 80)",,
"('193.188.203.82', 1210, '94.64.211.249', 80)",,
"('149.198.203.114', 62294, '213.23.207.114', 80)",,
"('35.21.253.67', 80, '161.32.31.55', 61044)",,
"('161.32.248.150', 1151, '198.210.111.60', 80)",,
"('186.145.136.85', 35318, '11.43.102.40', 80)",,
"('161.33.109.242', 32785, '208.96.28.209', 80)",,
"('161.32.8.4', 3979, '213.96.240.242', 80)",,
"('192.114.235.26', 80, '203.134.60.36', 54804)",,
"('149.198.203.114', 62209, '44.206.252.163', 80)",,
"('164.143.51.169', 47545, '223.105.162.120', 80)",,
"('164.66.226.190', 54273, '92.198.144.54', 80)",,
"('161.32.74.0', 49867, '193.44.192.11', 80)",,
"('149.198.202.137', 62487, '215.89.228.212', 80)",,
"('88.165.95.50', 80, '164.88.48.135', 53428)",,
"('149.198.202.137', 62415, '213.23.207.114', 80)",,
"('45.170.55.21', 41880, '161.32.49.28', 80)",,
"('164.66.234.130', 80, '200.82.206.123', 24742)",,
"('33.225.173.140', 35233, '161.32.204.197', 80)",,
"('104.165.119.1', 80, '164.143.194.41', 37828)",,
"('35.21.253.66', 80, '164.66.52.53', 11015)",,
"('145.120.78.33', 4818, '44.35.107.236', 80)",,
"('145.120.146.20', 80, '88.244.124.54', 60964)",,
"('149.198.202.136', 60892, '222.9.85.15', 80)",,
"('193.188.203.82', 1971, '192.194.21.219', 80)",,
"('164.66.234.91', 61299, '46.224.98.187', 80)",,
"('161.32.40.248', 50206, '94.132.53.191', 80)",,
"('186.145.29.183', 1369, '92.11.198.52', 80)",,
"('145.120.33.22', 4116, '45.171.217.78', 80)",,
"('149.198.202.137', 62400, '46.210.204.82', 80)",,
"('164.93.70.235', 47316, '212.30.112.42', 80)",,
"('46.224.98.135', 80, '164.191.20.36', 1637)",,
"('161.32.65.172', 1663, '214.206.51.76', 80)",,
"('45.171.169.60', 80, '145.120.98.122', 55869)",,
"('45.171.216.174', 80, '145.120.116.167', 3980)",,
"('192.194.21.219', 80, '193.188.203.82', 1969)",,
"('192.125.32.97', 80, '193.188.201.199', 2222)",,
"('192.114.236.80', 80, '93.205.48.121', 18900)",,
"('193.44.201.172', 80, '161.32.248.150', 1160)",,
"('197.196.171.202', 80, '161.32.168.219', 61765)",,
"('214.236.139.228', 80, '164.66.235.92', 50233)",,
"('149.198.202.136', 60898, '223.243.59.41', 80)",,
"('145.120.5.48', 2266, '35.165.70.240', 80)",,
"('149.198.202.136', 58353, '44.206.252.198', 80)",,
"('161.32.131.65', 2646, '193.242.32.117', 80)",,
"('222.9.85.15', 80, '193.188.201.199', 2206)",,
"('164.93.58.28', 2508, '47.241.12.217', 80)",,
"('161.32.76.46', 1231, '208.70.31.234', 80)",,
"('149.198.202.136', 60896, '104.20.177.69', 80)",,
"('186.145.44.73', 16172, '52.144.27.92', 80)",,
"('161.32.168.19', 1845, '92.11.240.168', 80)",,
"('164.66.46.8', 80, '217.118.66.100', 1140)",,
"('164.66.234.130', 80, '53.76.55.22', 41153)",,
"('149.198.202.137', 62503, '213.23.207.114', 80)",,
"('161.32.177.74', 26799, '44.206.252.46', 80)",,
"('192.182.105.20', 80, '193.188.201.199', 2194)",,
"('164.93.203.58', 34828, '11.43.102.91', 80)",,
"('145.120.111.97', 1177, '212.198.105.212', 80)",,
"('149.198.202.136', 60656, '45.6.247.40', 80)",,
"('149.198.202.137', 62368, '35.16.195.162', 80)",,
"('182.56.80.63', 80, '193.242.50.245', 1806)",,
"('149.198.202.137', 62519, '46.210.197.25', 80)",,
"('161.32.8.4', 3951, '213.96.240.242', 80)",,
"('172.20.34.207', 1983, '44.35.90.205', 80)",,
"('192.114.236.80', 80, '139.40.56.70', 12289)",,
"('161.32.216.172', 33225, '46.224.98.205', 80)",,
"('46.224.98.187', 80, '145.120.110.232', 2200)",,
"('213.227.178.237', 80, '161.32.2.115', 34400)",,
"('193.188.201.180', 1330, '44.206.249.194', 80)",,
"('11.43.102.72', 80, '164.88.48.129', 64780)",,
"('96.135.159.13', 80, '145.120.54.179', 1362)",,
"('164.143.213.195', 4877, '44.206.252.199', 80)",,
"('145.120.110.62', 49896, '11.43.100.12', 80)",,
"('161.32.248.111', 1827, '52.144.27.35', 80)",,
"('164.93.166.148', 80, '42.235.193.133', 1271)",,
"('164.143.209.149', 2894, '44.206.249.1', 80)",,
"('164.66.234.130', 80, '35.27.76.160', 56000)",,
"('145.120.98.115', 58332, '212.198.105.212', 80)",,
"('145.120.108.109', 3263, '69.95.12.235', 80)",,
"('164.143.133.67', 80, '44.78.174.9', 12834)",,
"('11.43.102.175', 80, '164.88.48.135', 53528)",,
"('149.198.202.137', 62493, '51.221.23.232', 80)",,
"('35.21.253.77', 80, '145.120.193.12', 11103)",,
"('186.145.29.183', 1341, '92.11.198.52', 80)",,
"('149.198.203.114', 62479, '222.9.85.15', 80)",,
"('182.56.173.109', 1502, '11.43.102.96', 80)",,
"('164.93.0.135', 31357, '212.30.121.177', 80)",,
"('193.188.203.82', 1938, '216.196.178.47', 80)",,
"('149.198.165.0', 80, '216.98.252.225', 3358)",,
"('164.66.234.130', 80, '220.75.138.83', 55319)",,
"('192.114.236.80', 80, '88.130.37.55', 2321)",,
"('161.32.38.70', 80, '212.36.40.221', 3362)",,
"('149.198.202.136', 60884, '222.9.85.15', 80)",,
"('45.39.180.26', 80, '161.32.65.172', 1664)",,
"('149.198.202.136', 60529, '200.105.77.113', 80)",,
"('161.33.114.3', 80, '202.21.212.125', 58914)",,
"('161.32.12.92', 1554, '198.210.73.173', 80)",,
"('46.233.17.230', 80, '193.188.203.82', 1645)",,
"('164.93.110.252', 80, '46.224.123.192', 56209)",,
"('149.198.202.136', 61011, '222.9.85.15', 80)",,
"('186.145.89.189', 1324, '11.43.102.36', 80)",,
"('149.198.202.136', 60727, '222.9.85.15', 80)",,
"('214.206.51.151', 80, '161.32.65.172', 1655)",,
"('164.143.51.174', 42645, '208.96.187.162', 80)",,
"('161.32.8.4', 3977, '213.96.240.157', 80)",,
"('164.93.81.84', 47191, '11.43.102.175', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 33556)",,
"('161.32.242.12', 27600, '44.206.252.198', 80)",,
"('161.32.131.18', 51839, '46.224.98.135', 80)",,
"('149.198.233.1', 80, '221.40.96.102', 31330)",,
"('46.224.98.177', 80, '164.143.185.30', 2110)",,
"('193.176.28.18', 54348, '46.224.98.187', 80)",,
"('145.120.49.226', 2176, '44.206.252.199', 80)",,
"('193.188.208.221', 4238, '212.199.141.67', 80)",,
"('164.93.9.201', 80, '93.110.157.219', 4025)",,
"('186.145.25.137', 4186, '212.102.214.2', 80)",,
"('46.233.17.228', 80, '193.188.203.82', 1625)",,
"('164.93.70.11', 3722, '11.43.102.22', 80)",,
"('186.145.101.3', 3352, '212.82.116.192', 80)",,
"('149.198.202.137', 52618, '11.43.100.90', 80)",,
"('164.93.0.135', 31325, '212.30.121.177', 80)",,
"('35.21.253.66', 80, '164.188.241.69', 12689)",,
"('149.198.202.136', 61010, '94.132.53.191', 80)",,
"('193.44.201.172', 80, '161.32.4.138', 4260)",,
"('92.250.93.70', 2300, '192.114.236.80', 80)",,
"('46.224.98.177', 80, '145.120.5.48', 2295)",,
"('145.120.116.161', 2891, '46.224.98.177', 80)",,
"('92.11.250.40', 80, '193.176.204.59', 1960)",,
"('2001:3c00:5846:bd74:f381:68ff:8990:3b19', 80, '2001:34eb:ff:f112::39f:2c', 4644)",,
"('164.66.234.130', 80, '212.178.165.21', 35779)",,
"('213.167.25.19', 38775, '192.114.238.182', 80)",,
"('192.191.24.169', 80, '164.66.46.8', 40155)",,
"('203.5.4.248', 22048, '192.114.235.26', 80)",,
"('149.198.202.136', 58460, '222.76.136.153', 80)",,
"('92.11.250.40', 80, '161.32.228.112', 1840)",,
"('212.48.1.167', 80, '161.32.24.44', 40473)",,
"('199.5.115.176', 80, '193.188.201.199', 2115)",,
"('186.145.216.232', 49190, '46.224.101.63', 80)",,
"('160.72.49.193', 2910, '212.82.118.120', 80)",,
"('46.224.98.187', 80, '145.120.96.234', 50960)",,
"('212.102.202.149', 80, '161.32.202.70', 4883)",,
"('161.32.40.248', 50205, '94.132.53.191', 80)",,
"('149.198.202.136', 60848, '44.206.252.163', 80)",,
"('164.66.234.130', 80, '35.27.77.2', 59478)",,
"('186.145.218.115', 16896, '11.43.102.40', 80)",,
"('192.114.236.80', 80, '96.110.82.53', 1299)",,
"('161.32.65.172', 1650, '214.206.51.72', 80)",,
"('149.198.202.136', 60856, '222.9.85.15', 80)",,
"('161.32.38.70', 80, '212.36.40.221', 3352)",,
"('160.72.162.122', 3563, '193.44.194.188', 80)",,
"('164.93.0.135', 31349, '212.30.121.177', 80)",,
"('117.112.239.75', 20619, '192.114.236.80', 80)",,
"('161.32.5.76', 1026, '92.11.240.168', 80)",,
"('192.114.235.26', 80, '212.138.117.186', 58066)",,
"('160.26.149.249', 21659, '107.10.152.224', 80)",,
"('149.198.202.136', 60685, '215.154.127.135', 80)",,
"('222.76.136.169', 80, '193.188.203.165', 4080)",,
"('35.21.253.76', 80, '182.77.24.117', 49318)",,
"('11.43.100.20', 80, '145.120.2.112', 37743)",,
"('11.43.102.85', 80, '164.88.48.132', 57940)",,
"('186.145.177.144', 3444, '212.18.193.166', 80)",,
"('164.93.70.235', 47342, '212.30.112.42', 80)",,
"('149.198.202.137', 62362, '213.23.207.114', 80)",,
"('145.120.188.50', 46527, '92.108.152.213', 80)",,
"('214.28.137.81', 2241, '164.66.46.8', 80)",,
"('149.198.203.99', 65112, '222.9.85.15', 80)",,
"('145.120.138.223', 4064, '44.133.159.70', 80)",,
"('92.11.240.130', 80, '164.66.65.12', 1949)",,
"('145.120.106.39', 49373, '45.171.217.78', 80)",,
"('193.176.213.120', 51320, '214.206.51.56', 80)",,
"('193.188.203.82', 1301, '44.108.147.5', 80)",,
"('182.56.80.154', 24693, '11.43.102.110', 80)",,
"('88.164.75.117', 1283, '192.114.235.26', 80)",,
"('164.93.0.135', 31332, '212.30.121.177', 80)",,
"('46.224.98.177', 80, '145.120.188.50', 46569)",,
"('161.32.40.248', 50190, '46.240.209.77', 80)",,
"('161.32.248.150', 1166, '198.210.73.171', 80)",,
"('11.43.100.12', 80, '145.120.110.62', 49896)",,
"('46.224.98.177', 80, '145.120.110.232', 2198)",,
"('201.210.241.120', 54418, '92.200.3.212', 80)",,
"('182.56.80.154', 29817, '221.167.56.0', 80)",,
