tcp_80_connections,tcp_443_connections,udp_443_connections
"('164.66.46.8', 80, '117.146.80.155', 1175)","('88.165.92.235', 443, '164.88.48.130', 63361)",
"('145.120.203.203', 51003, '198.86.171.236', 80)","('45.171.169.60', 443, '145.120.98.122', 55870)",
"('50.103.151.181', 63757, '192.114.235.26', 80)","('222.163.110.153', 1038, '164.143.130.233', 443)",
"('145.120.78.33', 4819, '44.35.107.236', 80)","('192.85.43.91', 2266, '213.23.207.114', 443)",
"('149.198.202.136', 60955, '199.27.125.156', 80)","('92.21.96.178', 443, '145.120.98.122', 55888)",
"('199.145.198.91', 80, '193.188.203.82', 1980)","('88.165.92.235', 443, '164.88.48.129', 65015)",
"('46.224.123.34', 51504, '161.32.16.98', 80)","('145.120.96.226', 60054, '46.224.98.178', 443)",
"('200.105.170.2', 80, '161.32.86.156', 33991)","('164.66.66.17', 50263, '45.171.169.0', 443)",
"('209.83.219.170', 80, '193.188.201.171', 46799)","('149.198.195.55', 63348, '45.171.230.87', 443)",
"('164.66.92.211', 80, '203.5.4.248', 23302)","('149.198.202.136', 59256, '44.206.252.187', 443)",
"('161.32.148.18', 80, '193.215.220.83', 2619)","('46.224.98.187', 443, '145.120.5.48', 2291)",
"('217.179.23.83', 80, '164.88.48.132', 57567)","('186.145.47.74', 1322, '92.193.243.148', 443)",
"('164.143.213.44', 1798, '11.43.100.100', 80)","('46.224.98.177', 443, '164.143.176.84', 50076)",
"('220.75.138.83', 55293, '192.114.236.27', 80)","('198.210.73.213', 443, '192.114.237.234', 50733)",
"('92.198.144.54', 80, '164.66.226.190', 54284)","('164.66.66.17', 50264, '45.171.169.0', 443)",
"('46.181.164.49', 80, '193.188.224.94', 23988)","('45.171.169.0', 443, '164.66.66.17', 50266)",
"('35.21.253.66', 80, '164.188.200.112', 1410)","('161.32.177.193', 1314, '44.128.135.58', 443)",
"('214.206.51.56', 80, '193.176.213.120', 51320)","('160.72.11.184', 1128, '46.36.64.152', 443)",
"('145.120.5.48', 2287, '46.115.252.9', 80)","('193.50.255.17', 443, '145.120.33.1', 2992)",
"('164.93.58.28', 2503, '47.241.12.217', 80)","('149.198.164.9', 1072, '222.54.92.153', 443)",
"('92.141.122.120', 80, '145.120.132.151', 43286)","('44.206.252.199', 443, '161.32.133.174', 21154)",
"('46.224.98.177', 80, '161.32.13.64', 1642)","('164.93.153.74', 1791, '92.11.250.40', 443)",
"('221.224.105.200', 80, '161.32.133.174', 21193)","('149.198.202.136', 60980, '213.23.207.114', 443)",
"('186.145.7.21', 51386, '11.43.102.25', 80)","('88.165.92.235', 443, '164.88.48.130', 63363)",
"('161.32.133.174', 21174, '92.11.240.168', 80)","('88.165.92.235', 443, '164.88.48.133', 63943)",
"('92.11.198.52', 80, '161.32.240.198', 14864)","('92.21.96.178', 443, '145.120.98.122', 55881)",
"('214.236.139.240', 80, '164.66.235.92', 50237)","('145.120.33.1', 2992, '193.50.255.17', 443)",
"('193.98.231.219', 80, '161.32.4.202', 3824)","('193.176.28.130', 21564, '44.206.249.194', 443)",
"('164.93.70.235', 47300, '212.30.112.42', 80)","('46.224.98.178', 443, '145.120.96.226', 60053)",
"('161.33.77.98', 34922, '200.134.183.46', 80)","('145.120.250.30', 55008, '44.206.252.141', 443)",
"('161.32.196.178', 34459, '44.35.97.44', 80)","('88.165.92.235', 443, '164.88.48.129', 65017)",
"('92.11.240.130', 80, '161.32.38.100', 40889)","('149.198.152.135', 4163, '53.216.229.79', 443)",
"('209.135.26.119', 80, '161.32.24.44', 40443)","('192.114.237.234', 50733, '198.210.73.213', 443)",
"('161.32.196.51', 2200, '92.11.198.52', 80)","('149.198.152.135', 4159, '51.78.194.165', 443)",
"('40.105.27.35', 3955, '161.32.17.240', 80)","('161.32.177.193', 1312, '44.128.135.58', 443)",
"('164.66.46.8', 80, '51.196.236.19', 40920)","('45.171.169.0', 443, '164.66.66.17', 50268)",
"('43.56.206.57', 80, '193.188.203.82', 3671)","('149.198.196.195', 1051, '42.65.128.52', 443)",
"('149.198.149.188', 80, '152.46.249.71', 33368)","('145.120.98.122', 55891, '92.21.96.178', 443)",
"('193.188.201.182', 41944, '46.224.98.177', 80)","('164.93.153.74', 1789, '92.11.250.40', 443)",
"('11.43.100.4', 80, '145.120.125.133', 1720)","('88.165.92.235', 443, '164.88.48.131', 60533)",
"('193.188.203.82', 1973, '92.11.240.132', 80)","('92.21.96.178', 443, '145.120.98.122', 55874)",
