Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length
17384,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
17389,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
17393,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
17397,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
17400,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
17401,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
17406,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50
18645,2001:3a50:a8ff:ff23::5365,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+16
18797,2001:3abf:22df::63:1a,2001:32af:eb5a:1:df5c:ffff:bb57:4b85,53,52065,0,0,17,60+123
19045,2001:5696:4061:30af::6966:f1,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+16
19063,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:4061:30af::6966:f1,-,-,0,0,58,48+16
19285,2001:3c47:fef9::2e,2001:3801:6c00:42::31:53,-,-,0,0,58,44+100
19286,2001:3c47:fef9::2e,2001:3801:6c00:42::31:53,-,-,0,0,58,44+100
19773,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,80+40
19782,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,1,6,82+44
19945,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
20104,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+20
20188,2001:3951:7400:ead3::e5,2001:3c00:5846:1a2a::f00:d488,32782,6667,0,0,6,72+57
20203,2001:5696:6200:f::a6,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
20214,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6200:f::a6,-,-,0,0,58,48+64
20761,2001:3269:3d:0:8883::ed2e,2001:3508:2ea2:254f::91,-,-,0,0,58,44+110
21039,2001:3269:3d:0:8883::ed2e,2001:2a12:806f::d7,-,-,0,0,58,44+112
21231,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
21679,2001:3da6:613c:7000::a68f,2001:3c00:5846:1a2a::f00:d488,65528,6667,746972,0,6,72+32
21724,2001:3c00:5846:1a2a::f00:d488,2001:3951:7400:ead3::e5,6667,32782,251187,0,6,72+32
22012,2001:3269:3d:0:8883::ed2e,2001:54e5:0:8f0f::d0,-,-,0,0,58,44+109
22364,2001:5696:6500:9f::64,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
22386,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6500:9f::64,-,-,0,0,58,48+64
22437,2001:3c00:5846:1a2a::f00:d488,2001:3951:7400:ead3::e5,6667,32782,251187,0,6,72+88
22718,2001:3269:3d:0:8883::ed2e,2001:23b9:0:48:cf:c57a:e40d:bf,-,-,0,0,58,44+111
22891,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
23184,2001:28d3:ff00:11e9::51,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
23185,2001:3c47:fef9::2e,2001:3801:6c00:42::31:55,-,-,0,0,58,44+98
23212,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:28d3:ff00:11e9::51,-,-,0,0,58,48+64
23425,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3959:ae47:0:8d:b1:18:97,33067,53,0,0,17,60+55
23426,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3959:ae47:0:8d:b1:18:97,33067,53,0,0,17,60+55
24280,2001:2b01:ffbd:26::87,2001:3c00:5846:1a2a::f00:d488,54791,6667,0,0,6,72+47
24349,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
24352,2001:5696:6200:f::a6,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
24360,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6200:f::a6,-,-,0,0,58,48+64
24876,2001:3da6:613c:7000::a68f,2001:3c00:5846:1a2a::f00:d488,65528,6667,746972,0,6,72+32
24913,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32
25077,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+213
25796,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
25876,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffbd:26::87,6667,54791,247972,0,6,72+32
25979,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:54e5:0:8f0f::d0,53,32985,0,0,17,60+40
26285,2001:3a50:a8ff:ff23::1636,2001:32af:ea15:0:6a18:c8ff:3b8f:843b,-,-,0,0,58,48+64
26553,2001:3c47:fef9::2e,2001:3903:9c00:fd00::95,-,-,0,0,58,44+97
26601,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+32
