Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,TCP-Reserved,TCP-CWR,TCP-ECE,TCP-Timestamp_Value
35982,2001:3da6:6142::e,2001:3c00:5846:1a2a::f00:d488,59975,6667,106094,0,6,72+60,0,False,False,"103754015, 2115505956"
36186,2001:3da6:61bc:0:79aa:46ff:8cf8:cb39,2001:3c00:5846:1a2a::f00:d488,16560,6667,586946,0,6,72+60,0,False,False,"1285921341, 2115505956"
36187,2001:3c14:6780:dd00::72,2001:3c00:5846:1a2a::f00:d488,57848,6667,863764,0,6,72+60,0,False,False,"912319480, 2115505956"
36648,2001:3c14:67d5:0:c6cd:3eff:1000:1c97,2001:3c00:5846:1a2a::f00:d488,38827,6667,0,0,6,60+20,0,False,False,-
37035,2001:3c14:59c6:7a00::4c,2001:3c14:59c6:7a00::4e,179,2305,0,192,6,80+40,0,False,False,-
37166,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32,0,False,False,"202756978, 476625828"
37179,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+213,0,False,False,"476626192, 202756978"
37289,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32,0,False,False,"202756979, 476625828"
37361,2001:3c14:67d5:0:c6cd:3eff:1000:1c97,2001:3c00:5846:1a2a::f00:d488,38827,6667,0,0,6,60+48,0,False,False,-
37366,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+32,0,False,False,"2115505966, 1251885197"
38384,2001:3c14:6780:dd00::72,2001:3c00:5846:1a2a::f00:d488,57848,6667,863764,0,6,72+60,0,False,False,"912319600, 2115505969"
40516,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,113,1600,0,0,6,80+40,0,False,False,"1251885486, 2115505955"
40531,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+32,0,False,False,"1251885487, 2115505956"
40553,2001:38d8:2000:6314::d,2001:385a:49a8:cc2d:652e:b9aa:55c5:eb08,52081,6667,0,0,6,72+44,0,False,False,"160842162, 1164827971"
40620,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,72+32,0,False,False,"2115505984, 1251885486"
40622,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,72+46,0,False,False,"2115505984, 1251885486"
40680,2001:3a50:a892::5,2001:3c00:5846:1a2a::f00:d488,49698,6667,0,0,6,60+20,0,False,False,-
40683,2001:3a50:a892::5,2001:3c00:5846:1a2a::f00:d488,49698,6667,0,0,6,60+47,0,False,False,-
41945,2001:28d3:ff92::90,2001:3c00:5846:1a2a::f00:d488,32988,6667,0,0,6,72+32,0,False,False,"11448529, 2115505956"
42021,2001:28d3:ff92::90,2001:3c00:5846:1a2a::f00:d488,32988,6667,0,0,6,72+60,0,False,False,"11448529, 2115505956"
42101,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,48063,6667,0,0,6,72+61,0,False,False,"1251885587, 2115505966"
42968,2001:3da6:613c:7000::bea9,2001:3c00:5846:1a2a::f00:d488,63980,6667,936823,0,6,72+144,0,False,False,"280930320, 2115505811"
43071,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32,0,False,False,"202757065, 476626192"
43121,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,72+32,0,False,False,"202757066, 476626192"
