Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,UDP_Length
62221,223.228.46.69,193.20.182.96,2013,53,20,0,0,17,83,63
62258,223.44.166.144,164.66.92.163,123,32919,20,0,0,17,76,56
62262,193.20.177.176,192.168.68.2,53,1076,20,0,0,17,165,145
62267,193.188.201.176,201.10.22.239,32768,53,20,0,0,17,61,41
62271,192.114.231.23,192.132.74.250,53071,53,20,0,0,17,77,57
62280,218.214.173.20,193.188.201.161,11506,11755,20,0,0,17,129,109
62287,172.94.151.185,201.196.236.249,32768,53,20,0,0,17,71,51
62295,164.66.46.120,43.34.190.82,64135,53,20,0,0,17,77,57
62296,46.32.155.64,193.20.182.105,18778,53,20,0,0,17,72,52
62298,46.181.145.211,193.20.182.105,20930,53,20,0,0,17,71,51
62300,172.94.151.185,201.196.236.249,32768,53,20,0,0,17,71,51
62304,209.229.51.58,193.20.182.96,5353,53,20,0,0,17,84,64
62305,193.86.122.7,193.20.182.96,16420,53,20,0,0,17,83,63
62307,198.53.192.95,193.20.182.96,37628,53,20,0,0,17,73,53
62308,89.189.75.225,193.20.180.152,32769,53,20,0,0,17,63,43
62332,193.196.138.142,193.20.182.96,3143,53,20,0,0,17,81,61
62345,193.108.40.224,193.20.180.152,45939,53,20,0,0,17,58,38
62346,193.108.40.224,193.20.180.152,45939,53,20,0,0,17,58,38
62352,193.108.40.224,193.20.180.152,45939,53,20,0,0,17,59,39
62353,193.108.40.224,193.20.180.152,45939,53,20,0,0,17,59,39
62355,193.20.177.176,164.178.21.86,53,1085,20,0,0,17,518,498
62371,213.229.190.34,193.20.182.105,1826,53,20,0,0,17,84,64
62398,193.20.177.176,164.178.21.86,53,1085,20,0,0,17,528,508
62403,46.72.1.192,193.20.182.105,60083,53,20,0,0,17,74,54
62429,193.20.177.176,192.168.84.16,53,1079,20,0,0,17,220,200
62441,196.90.239.170,164.88.48.206,53,1028,20,0,0,17,144,124
62444,161.32.30.27,92.11.144.174,1050,53,20,0,0,17,64,44
62458,164.66.46.120,46.187.206.39,15063,53,20,0,0,17,73,53
62477,208.27.40.80,193.20.182.96,55100,53,20,0,0,17,73,53
62479,212.198.131.54,193.20.180.152,2520,53,20,0,0,17,59,39
62482,164.66.46.120,199.99.119.33,17815,53,20,0,0,17,86,66
62488,202.70.230.32,193.20.182.96,28816,53,20,0,0,17,73,53
62490,192.132.74.250,192.114.231.23,53,53071,20,0,0,17,396,376
62511,201.40.11.20,213.84.132.101,53,52045,20,0,0,17,221,201
62514,208.122.132.76,193.20.182.105,52999,53,20,0,0,17,83,63
62516,208.27.40.243,193.20.182.96,60920,53,20,0,0,17,74,54
62538,198.53.192.67,193.20.182.96,37239,53,20,0,0,17,70,50
62544,182.56.101.174,213.107.61.90,1036,16478,20,0,0,17,64,44
62546,209.120.4.20,193.20.182.105,63807,53,20,0,0,17,71,51
62549,164.66.92.163,215.58.238.105,32919,123,20,0,0,17,76,56
62555,94.238.209.29,193.20.182.105,14702,53,20,0,0,17,74,54
62579,214.205.80.96,193.20.182.105,8027,53,20,0,0,17,74,54
62584,221.85.22.27,201.196.236.249,38581,53,20,0,0,17,73,53
62599,162.163.174.172,164.66.89.92,123,32872,20,0,0,17,76,56
62609,201.196.236.249,221.85.22.27,53,38581,20,0,0,17,123,103
62621,204.13.114.186,193.20.182.105,53,53,20,0,0,17,83,63
62632,160.19.10.65,193.20.182.105,4123,53,20,0,0,17,74,54
62640,192.90.119.238,192.114.232.238,47008,16606,20,1,0,17,31,11
62665,222.102.66.218,193.20.180.152,35291,53,20,0,0,17,84,64
62680,44.136.226.208,193.20.182.96,53,53,20,0,0,17,84,64
62705,198.53.192.24,193.20.180.152,35572,53,20,0,0,17,67,47
62734,42.234.6.199,201.196.236.249,53535,53,20,0,0,17,69,49
62735,145.120.109.4,208.70.31.155,6970,30440,20,0,0,17,70,50
62773,161.32.30.27,92.11.144.174,1050,53,20,0,0,17,73,53
62775,201.196.236.249,42.234.6.199,53,53535,20,0,0,17,129,109
62800,198.53.192.28,193.20.182.105,26414,53,20,0,0,17,71,51
62816,161.32.133.174,214.22.190.9,1026,53,20,0,0,17,63,43
62834,193.20.177.176,192.168.0.230,53,1117,20,0,0,17,145,125
62843,182.56.86.18,213.222.222.9,32778,53,20,0,0,17,72,52
62849,51.148.167.243,201.196.236.249,18200,53,20,0,0,17,52,32
62853,161.33.25.202,57.75.177.67,26044,51525,20,0,0,17,51,31
62854,201.196.236.249,209.66.94.61,53,32773,20,0,0,17,225,205
62856,200.19.218.108,145.120.188.50,58619,22173,20,0,0,17,65,45
62859,193.108.40.192,193.20.180.152,60430,53,20,0,0,17,63,43
62865,193.107.18.189,193.20.180.152,32768,53,20,0,0,17,75,55
62881,201.196.236.249,51.148.167.243,53,18200,20,0,0,17,125,105
62897,192.130.27.67,193.20.182.105,33538,53,20,0,0,17,84,64
62900,198.53.192.25,193.20.182.96,6408,53,20,0,0,17,74,54
62902,209.65.23.26,193.20.180.152,53,53,20,0,0,17,61,41
62903,46.148.96.117,193.20.182.96,39968,53,20,0,0,17,61,41
62904,203.206.88.238,193.20.182.96,1091,53,20,0,0,17,84,64
62905,202.166.51.210,145.120.188.51,8367,57195,20,0,0,17,1028,1008
62907,205.144.164.229,193.20.182.96,53,53,20,0,0,17,84,64
62908,192.114.237.128,95.46.238.182,53,2399,20,0,0,17,105,85
62910,51.109.194.57,193.188.202.17,4672,4672,20,0,0,17,34,14
62916,222.151.83.46,193.20.182.96,40543,53,20,0,0,17,73,53
62917,192.90.119.238,192.114.232.238,65056,28008,20,1,0,17,31,11
62918,201.196.236.249,194.211.6.67,53,33302,20,0,0,17,258,238
62920,182.56.101.174,213.107.61.90,1036,16478,20,0,0,17,64,44
62940,46.205.255.149,193.20.182.96,32772,53,20,0,0,17,85,65
62949,193.20.177.176,10.239.81.241,53,1047,20,0,0,17,518,498
62953,35.47.107.7,193.20.182.105,37487,53,20,0,0,17,72,52
62954,192.155.189.70,192.114.234.11,364,53,20,0,0,17,55,35
62955,212.162.66.155,193.20.182.96,4571,53,20,0,0,17,84,64
62977,193.97.215.83,193.20.180.152,32922,53,20,0,0,17,63,43
63013,193.108.177.96,193.20.180.152,44359,53,20,0,0,17,60,40
63041,35.21.143.231,201.196.236.249,21821,53,20,0,0,17,55,35
63044,193.86.122.7,201.196.236.249,16420,53,20,0,0,17,70,50
63068,212.178.40.166,193.20.180.152,34352,53,20,0,0,17,74,54
63070,209.19.254.208,193.20.180.152,9740,53,20,0,0,17,60,40
63071,193.86.122.7,201.196.236.249,16420,53,20,0,0,17,70,50
63076,43.9.232.102,193.20.182.96,32768,53,20,0,0,17,84,64
63077,212.178.40.166,193.20.180.152,34352,53,20,0,0,17,74,54
63078,212.178.40.166,193.20.180.152,34352,53,20,0,0,17,74,54
63084,212.178.40.166,193.20.180.152,34352,53,20,0,0,17,74,54
63086,44.200.111.175,193.20.182.96,34065,53,20,0,0,17,71,51
63091,201.196.236.249,35.21.143.231,53,21821,20,0,0,17,203,183
63097,201.58.192.7,43.50.6.19,53,33293,20,0,0,17,174,154
63098,161.33.145.15,221.5.97.237,18425,15110,20,0,0,17,300,280
63107,192.90.119.238,192.114.232.238,46496,15650,20,1,0,17,31,11
63129,193.188.202.41,198.173.128.202,51826,53,20,0,0,17,80,60
63137,193.188.202.41,198.173.128.202,51826,53,20,0,0,17,80,60
63147,203.145.165.197,193.20.182.105,14963,53,20,0,0,17,70,50
63153,217.118.118.72,193.20.182.96,1062,53,20,0,0,17,66,46
63162,44.35.69.64,164.216.84.187,7001,11717,20,0,0,17,48,28
63164,161.32.30.27,193.20.183.40,1050,53,20,0,0,17,71,51
63166,196.37.168.178,193.188.202.107,20748,53,20,0,0,17,67,47
63170,201.58.192.7,222.90.29.74,53,18348,20,0,0,17,148,128
63178,193.93.18.44,193.20.182.105,59699,53,20,0,0,17,69,49
63186,163.192.194.212,193.20.180.152,2614,53,20,0,0,17,73,53
63189,35.8.160.167,193.20.180.152,32768,53,20,0,0,17,66,46
63191,222.35.138.110,193.20.182.105,64902,53,20,0,0,17,71,51
63200,201.41.82.25,208.101.140.226,53,1042,20,0,0,17,147,127
63201,213.24.134.29,201.41.82.25,33000,53,20,0,0,17,75,55
63203,192.114.237.203,46.226.233.101,36160,24441,20,0,0,17,193,173
63207,208.120.194.92,193.20.182.96,1450,53,20,0,0,17,72,52
63227,35.47.107.7,193.20.182.96,40269,53,20,0,0,17,72,52
63236,192.100.41.174,193.20.182.96,52502,53,20,0,0,17,83,63
63250,35.47.40.5,193.20.182.105,33908,53,20,0,0,17,72,52
63266,200.169.227.115,193.20.182.96,53,53,20,0,0,17,73,53
63274,223.231.147.65,193.20.182.96,15177,53,20,0,0,17,72,52
63275,152.238.223.239,164.191.26.48,32773,53,20,0,0,17,65,45
63279,149.198.202.146,222.76.144.128,52064,53,20,0,0,17,75,55
63285,193.188.202.107,196.37.168.178,53,20748,20,0,0,17,195,175
63290,48.114.181.5,145.120.205.243,33047,9327,20,0,0,17,46,26
63296,92.138.97.112,193.20.180.152,45907,53,20,0,0,17,71,51
63297,46.180.77.15,164.143.51.169,53,53,20,0,0,17,160,140
63299,160.176.252.227,193.20.180.152,48141,53,20,0,0,17,56,36
63305,164.66.234.207,222.10.56.214,61609,53,20,0,0,17,68,48
63338,47.241.42.142,193.20.182.96,16418,53,20,0,0,17,70,50
63339,47.241.42.142,193.20.182.96,16418,53,20,0,0,17,70,50
63340,164.66.89.92,51.128.80.139,32872,123,20,0,0,17,76,56
63342,222.35.150.250,193.20.182.105,33068,53,20,0,0,17,85,65
63348,182.56.101.174,213.107.61.90,1036,16478,20,0,0,17,64,44
63354,161.32.13.165,192.168.141.1,137,137,20,0,0,17,239,219
63383,194.212.78.72,193.20.180.152,8385,53,20,0,0,17,73,53
63388,44.247.88.158,145.120.131.122,53,32785,20,0,0,17,139,119
63415,192.114.237.128,201.46.107.27,37044,53,20,0,0,17,61,41
63422,145.120.205.243,48.114.181.5,9327,33047,20,0,0,17,54,34
63431,161.33.114.43,201.10.22.239,53600,53,20,0,0,17,68,48
63441,161.32.145.124,43.34.19.181,54873,53,20,0,0,17,81,61
63464,43.34.19.181,161.32.145.124,53,54873,20,0,0,17,273,253
63470,51.148.6.33,201.196.236.249,32768,53,20,0,0,17,72,52
63478,200.190.4.147,193.188.201.171,37283,53,20,0,0,17,88,68
63489,193.97.215.83,193.20.180.152,32922,53,20,0,0,17,59,39
