Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,ICMP_Type
9052,193.93.173.149,193.188.224.12,-,-,20,48,0,1,68,3
9137,88.28.229.39,192.114.132.27,-,-,20,0,0,1,92,8
9260,92.21.111.220,145.120.188.58,-,-,20,0,0,1,56,11
9354,213.37.53.72,145.120.188.58,-,-,20,48,0,1,56,11
9377,145.120.188.51,194.141.159.249,-,-,20,0,0,1,121,3
9467,92.11.242.74,145.120.188.58,-,-,20,0,0,1,56,11
9716,193.188.222.30,212.96.242.52,-,-,20,0,0,1,56,11
9739,193.188.222.30,212.96.242.52,-,-,20,0,0,1,56,11
9760,193.188.222.30,212.96.242.52,-,-,20,0,0,1,56,11
9789,192.114.239.45,212.96.242.52,-,-,20,0,0,1,56,11
9792,192.114.239.45,212.96.242.52,-,-,20,0,0,1,56,11
9793,192.114.227.236,193.243.130.219,-,-,20,0,0,1,1500,0
9800,192.114.239.45,212.96.242.52,-,-,20,0,0,1,56,11
9836,192.114.232.24,212.96.242.52,-,-,20,0,0,1,56,11
9869,192.114.232.24,212.96.242.52,-,-,20,0,0,1,56,11
9890,192.114.232.24,212.96.242.52,-,-,20,0,0,1,56,11
9914,192.114.232.24,212.96.242.52,-,-,20,0,0,1,56,3
10209,212.198.172.96,192.114.227.236,-,-,20,0,0,1,1492,8
10220,192.114.227.236,212.198.172.96,-,-,20,0,0,1,1492,0
10299,164.93.192.225,48.21.177.163,-,-,20,0,0,1,120,3
10409,164.191.23.52,50.138.112.15,-,-,20,0,0,1,56,11
10562,145.14.165.208,41.152.3.40,-,-,20,0,0,1,56,3
10632,161.32.150.0,192.168.0.71,-,-,20,0,0,1,56,3
10895,182.77.13.150,92.122.223.44,-,-,20,0,0,1,56,3
10904,218.15.68.146,192.114.184.238,-,-,20,0,0,1,92,8
10918,182.77.135.88,167.155.105.87,-,-,20,0,0,1,56,3
10963,223.151.205.232,192.114.235.164,-,-,20,0,0,1,84,8
10982,192.114.235.164,223.151.205.232,-,-,20,0,0,1,84,0
11226,164.191.23.52,89.184.126.149,-,-,20,0,0,1,56,11
11389,145.120.171.131,45.171.161.255,-,-,20,0,0,1,56,3
11400,217.0.6.202,145.120.188.58,-,-,20,48,0,1,61,11
11555,193.188.204.111,11.72.76.123,-,-,20,0,0,1,56,3
11595,145.120.171.131,92.123.103.5,-,-,20,0,0,1,56,3
11831,192.136.107.117,193.59.115.87,-,-,20,0,0,1,92,8
12074,32.143.195.96,193.188.213.220,-,-,20,0,0,1,92,8
12210,182.77.162.89,42.102.13.222,-,-,20,0,0,1,56,3
12224,92.11.242.74,145.120.188.58,-,-,20,0,0,1,56,11
12232,92.198.152.163,145.120.188.58,-,-,20,0,0,1,56,11
12371,212.198.172.96,192.114.227.240,-,-,20,0,0,1,1492,8
12395,192.114.227.240,212.198.172.96,-,-,20,0,0,1,1492,0
12412,145.120.179.85,33.213.36.74,-,-,20,0,0,1,56,3
12738,182.77.139.13,113.84.65.202,-,-,20,0,0,1,56,3
12762,164.191.23.54,88.203.61.140,-,-,20,0,0,1,56,11
12799,192.114.227.240,193.243.130.219,-,-,20,0,0,1,1500,0
12959,193.188.208.232,193.94.189.83,-,-,20,0,0,1,56,3
13051,164.191.23.54,33.213.36.74,-,-,20,0,0,1,56,11
13062,193.244.23.205,192.122.97.133,-,-,20,0,0,1,56,3
13480,164.191.23.54,130.9.30.245,-,-,20,0,0,1,56,11
13565,182.77.80.42,218.24.73.220,-,-,20,0,0,1,56,3
14006,88.28.0.159,192.114.162.159,-,-,20,0,0,1,92,8
14061,89.3.230.202,193.188.206.193,-,-,20,0,0,1,92,8
14119,164.66.53.78,182.229.176.59,-,-,20,0,0,1,112,3
14327,164.191.23.54,92.68.221.12,-,-,20,0,0,1,56,11
14679,223.0.152.76,193.20.180.50,-,-,20,0,0,1,84,8
14849,149.198.203.108,42.182.127.224,-,-,20,0,0,1,56,11
15445,192.114.235.184,89.232.130.86,-,-,20,0,0,1,56,3
16231,193.188.208.232,33.25.5.94,-,-,20,0,0,1,56,3
16497,198.173.143.178,192.114.232.31,-,-,20,0,0,1,84,8
16528,192.114.232.31,198.173.143.178,-,-,20,0,0,1,84,0
16585,92.11.242.74,145.120.188.58,-,-,20,0,0,1,56,11
16608,92.198.152.163,145.120.188.58,-,-,20,0,0,1,56,11
16609,92.11.195.194,145.120.188.58,-,-,20,0,0,1,56,11
16668,182.77.186.63,218.17.176.151,-,-,20,0,0,1,56,3
16696,117.212.84.7,145.120.198.29,-,-,20,16,0,1,92,8
17297,193.188.201.161,32.165.200.159,-,-,20,0,0,1,28,0
17521,192.114.227.236,193.243.130.219,-,-,20,0,0,1,1500,0
17556,95.32.241.109,192.114.235.164,-,-,20,0,0,1,64,8
17575,192.114.235.164,95.32.241.109,-,-,20,0,0,1,64,0
17789,145.120.171.131,92.68.221.12,-,-,20,0,0,1,56,3
17864,164.191.23.52,47.144.204.209,-,-,20,0,0,1,56,11
17871,212.198.172.96,192.114.227.236,-,-,20,0,0,1,1492,8
17885,192.114.227.236,212.198.172.96,-,-,20,0,0,1,1492,0
17975,221.76.198.221,193.188.226.80,-,-,20,0,0,1,92,8
18119,162.172.141.19,145.120.188.58,-,-,20,0,0,1,168,11
18126,162.172.140.128,145.120.188.58,-,-,20,0,0,1,56,11
18170,216.84.17.102,193.59.116.188,-,-,20,0,0,1,92,8
18214,94.44.64.27,192.114.235.164,-,-,20,0,0,1,64,8
18229,192.114.235.164,94.44.64.27,-,-,20,0,0,1,64,0
18558,182.77.228.29,46.213.156.72,-,-,20,0,0,1,56,3
18587,164.191.23.52,221.228.115.230,-,-,20,0,0,1,56,11
19007,11.176.55.185,193.188.204.110,-,-,20,0,0,1,92,8
19481,221.192.21.3,193.188.230.54,-,-,20,0,0,1,92,8
19854,212.198.172.96,192.114.227.240,-,-,20,0,0,1,1492,8
19872,192.114.227.240,212.198.172.96,-,-,20,0,0,1,1492,0
19888,164.191.23.52,218.24.73.220,-,-,20,0,0,1,56,11
19911,44.242.168.59,192.114.235.164,-,-,20,0,0,1,64,8
19930,192.114.235.164,44.242.168.59,-,-,20,0,0,1,64,0
20063,149.198.202.137,205.214.143.93,-,-,20,0,0,1,56,3
20260,192.114.227.240,193.243.130.219,-,-,20,0,0,1,1500,0
20427,92.11.242.74,145.120.188.50,-,-,20,0,0,1,56,11
20658,92.21.111.220,145.120.188.50,-,-,20,0,0,1,56,11
20659,92.11.195.43,145.120.188.50,-,-,20,0,0,1,56,11
20663,164.191.23.52,92.122.223.44,-,-,20,0,0,1,56,11
20750,198.4.209.235,164.191.22.230,-,-,20,0,0,1,92,3
20777,161.32.88.225,43.200.232.74,-,-,20,0,0,1,56,3
21035,192.114.232.205,220.91.172.117,-,-,20,0,0,1,1500,0
21073,209.54.204.101,192.114.232.31,-,-,20,0,0,1,64,8
21092,192.114.232.31,209.54.204.101,-,-,20,0,0,1,64,0
21319,192.114.232.205,220.91.172.117,-,-,20,0,0,1,1492,0
21396,182.77.18.0,198.182.189.59,-,-,20,0,0,1,56,3
21469,192.114.232.205,220.91.172.117,-,-,20,0,0,1,1420,0
21837,198.173.143.178,192.114.235.164,-,-,20,0,0,1,84,8
21860,192.114.235.164,198.173.143.178,-,-,20,0,0,1,84,0
22023,164.66.198.147,198.210.162.77,-,-,20,0,0,1,76,3
22024,164.66.198.147,92.198.149.97,-,-,20,0,0,1,88,3
22025,164.66.198.147,92.198.149.97,-,-,20,0,0,1,88,3
22134,182.77.97.10,11.22.254.244,-,-,20,0,0,1,56,3
22280,193.244.23.205,221.169.3.28,-,-,20,0,0,1,56,3
22545,162.172.141.135,145.120.188.50,-,-,20,0,0,1,56,11
22546,162.172.138.50,145.120.188.50,-,-,20,0,0,1,168,11
22554,162.172.140.137,145.120.188.50,-,-,20,0,0,1,168,11
22588,192.114.232.205,220.91.172.117,-,-,20,0,0,1,1020,0
22765,192.114.232.205,220.91.172.117,-,-,20,0,0,1,320,0
22800,192.114.235.184,89.232.130.86,-,-,20,0,0,1,56,3
